bookId;title;author;Author l-f;Additional Authors;Isbn;Iisbn13;myRating;averageRating;publisher;Binding;numberOfPages;yearPublished;originalPublicationYear;dateRead;dateAdded;bookshelves;Bookshelves with positions;exclusiveShelf;My Review;Spoiler;Private Notes;Read Count;Owned Copies
56469273;Informacja zwrotna;Jakub Żulczyk;Żulczyk, Jakub;;8381398681;9788381398688;5;4.29;Świat Książki;Paperback;520;2021;2021;2023/12/26;2021/05/24;;;read;;;;1;0
59703124;Leniwy umysł. Dlaczego warto ciągle weryfikować swoje poglądy i decyzje;Adam M. Grant;Grant, Adam M.;Magda Witkowska;;9788382311310;0;4.23;MT Biznes;ebook;358;2021;2021;;2023/12/25;to-read;to-read (#274);to-read;;;;0;0
204206752;Wojna o Ukrainę. Wojna o świat;Jacek Bartosiak;Bartosiak, Jacek;Piotr Zychowicz;8383381042;9788383381046;0;3.50;Dom Wydawniczy REBIS;Paperback;326;2023;;;2023/12/25;to-read;to-read (#273);to-read;;;;0;0
93038015;Wojna. Antologia reportażu wojennego;Wojciech Jagielski;Jagielski, Wojciech;Winston Churchill, John Steinbeck, Ernest Hemingway, Albert Camus, Gabriel García Márquez, Mario Vargas Llosa, Tiziano Terzani, Robert Fisk, Ryszard Kapuściński, Anna Politkovskaya, Anna Politkowska, Marie Colvin, Jason Burke, Ahmad Rashid, Kurt Schork;;9788324059157;0;4.67;Znak  ;Paperback;1100;2023;2023;;2023/12/25;to-read;to-read (#272);to-read;;;;0;0
124710547;Historia na śmierć i życie;Wojciech Tochman;Tochman, Wojciech;;8308081363;9788308081365;0;3.88;Wydawnictwo Literackie;Hardcover;256;2023;2023;;2023/12/12;to-read;to-read (#271);to-read;;;;0;0
202410444;Po prostu kupuj. Sprawdzone sposoby oszczędzania i budowania majątku;Nick Maggiulli;Maggiulli, Nick;Michał Szafrański;;9788367971003;5;4.11;KAVEO Sp. z o.o. S.K.A.;Hardcover;400;2023;2022;2023/12/04;2022/11/22;;;read;;;;1;0
41721428;Can't Hurt Me: Master Your Mind and Defy the Odds;David Goggins;Goggins, David;;1544512260;;5;4.36;Lioncrest Publishing;Kindle Edition;366;2018;2018;2023/12/02;2021/06/30;;;read;;;;1;0
60654237;How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking;Sönke Ahrens;Ahrens, Sönke;;3982438802;9783982438801;4;4.14;Sönke Ahrens;Paperback;182;2022;2017;2023/11/29;2021/12/12;;;read;;;;1;0
95558;Solaris;Stanisław Lem;Lem, Stanisław;Steve Cox, Joanna Kilmartin;;;4;3.99;Harcourt;Paperback;204;2002;1961;2023/11/25;2021/01/20;;;read;;;;1;0
4389143;Na Zachodzie bez zmian;Erich Maria Remarque;Remarque, Erich Maria;Stefan Napierski;8389651521;9788389651525;0;4.07;Mediasat Poland;Hardcover;159;2004;1928;;2023/11/17;to-read;to-read (#270);to-read;;;;0;0
2112743;Znachor;Tadeusz Dołęga-Mostowicz;Dołęga-Mostowicz, Tadeusz;;8386868392;9788386868391;0;4.51;Prószyński i S-ka;Paperback;321;1997;1937;;2023/11/17;to-read;to-read (#269);to-read;;;;0;0
144738392;Imperium bólu. Baronowie przemysłu farmaceutycznego;Patrick Radden Keefe;Keefe, Patrick Radden;Jan Dzierzgowski;8381917131;9788381917131;0;4.54;Czarne ;Hardcover;616;2023;2021;;2023/11/13;to-read;to-read (#268);to-read;;;;0;0
63362404;Cztery tysiące tygodni;Oliver Burkeman;Burkeman, Oliver;Michał Jóźwiak;;9788367323345;0;4.23;Insignis;Paperback;320;2022;2021;;2023/11/07;to-read;to-read (#267);to-read;;;;0;0
170416096;Widmo Brockenu (Komisarz Forst, #8);Remigiusz Mróz;Mróz, Remigiusz;;8382806961;9788382806960;5;3.94;Filia;Paperback;480;2023;2023;2023/10/29;2023/10/15;;;read;;;;1;0
65916344;Holly;Stephen King;King, Stephen;;1668016133;9781668016138;0;4.19;Scribner;Hardcover;449;2023;2023;;2023/10/27;to-read;to-read (#266);to-read;;;;0;0
1841723;Chłopi;Władysław Stanisław Reymont;Reymont, Władysław Stanisław;;8373899294;9788373899292;0;3.32;Zielona Sowa;Hardcover;616;2005;1909;;2023/10/27;to-read;to-read (#265);to-read;;;;0;0
40882793;Piesn Lodu i Ognia Tom 4 Czesc 2 Uczta dla wron: Siec spiskow (Polish Edition);George R.R. Martin;Martin, George R.R.;;8377856670;9788377856673;5;4.23;Zysk i S-ka;Hardcover;504;2015;2005;;2021/01/20;;;read;;;;1;0
193243584;Kulisy PiS;Kamil Dziubka;Dziubka, Kamil;;;;4;3.91;Czerwone i Czarne;Paperback;318;2023;2023;2023/10/15;2023/09/30;;;read;;;;1;0
123020583;Społeczeństwo populistów;Sławomir Sierakowski;Sierakowski, Sławomir;Przemysław Sadura;;9788367075886;4;4.08;Wydawnictwo Krytyki Politycznej;Paperback;320;2023;2023;2023/10/02;2023/07/21;;;read;;;;1;0
195084258;Zarzut (Chyłka i Zordon, #17);Remigiusz Mróz;Mróz, Remigiusz;;8367815327;9788367815321;0;3.60;Czwarta Strona;Paperback;488;2023;2023;;2023/09/30;to-read;to-read (#264);to-read;;;;0;0
43385537;Krótkie odpowiedzi na wielkie pytania;Stephen Hawking;Hawking, Stephen;Marek Krośniak;8381164761;9788381164764;0;4.28;Zysk i S-ka;Hardcover;264;2018;2018;;2023/09/30;to-read;to-read (#263);to-read;;;;0;0
62562779;Werdykt (Chyłka i Zordon, #16);Remigiusz Mróz;Mróz, Remigiusz;;836698172X;9788366981720;3;3.86;Czwarta Strona;Paperback;496;2022;2022;2023/09/22;2023/09/04;;;read;;;;1;0
33818383;Być mężem i ojcem;Jesper Juul;Juul, Jesper;Ingeborg Szöllösi, Dariusz Syska;8362445408;9788362445400;0;3.67;MiND;Paperback;200;2012;2010;;2021/01/20;;;read;;;;1;0
20661548;The Snowden Files: The Inside Story of the World's Most Wanted Man;Luke Harding;Harding, Luke;;0804173524;9780804173520;0;3.84;Vintage;Paperback;333;2014;2014;;2023/09/21;to-read;to-read (#262);to-read;;;;0;0
122765395;Elon Musk;Walter Isaacson;Isaacson, Walter;;1982181281;9781982181284;0;4.43;Simon & Schuster;Hardcover;688;2023;2023;;2023/09/21;to-read;to-read (#261);to-read;;;;0;0
123181967;Umówmy się na Polskę;Antoni Dudek;Dudek, Antoni;Maciej Kisilowski, Anna Wojciuk;;9788324045280;5;4.14;Znak;Paperback;448;2023;2023;2023/08/26;2023/06/02;;;read;;;;1;0
123727148;Schronisko, które przetrwało (Karkonoska seria kryminalna, #2);Sławek Gortych;Gortych, Sławek;;8327164031;9788327164032;5;4.21;Wydawnictwo Dolnośląskie;Paperback;448;2023;2023;2023/08/22;2023/07/17;;;read;;;;1;0
25371676;Niesamowite przygody dziesięciu skarpetek (czterech prawych i sześciu lewych) (Niesamowite przygody dziesięciu skarpetek #1);Justyna Bednarek;Bednarek, Justyna;Daniel de Latour;8363960136;9788363960131;5;4.26;Poradnia K;Hardcover;158;2015;2015;;2021/01/20;;;read;;;;1;0
18872437;The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!;M.J. DeMarco;DeMarco, M.J.;;0984358102;9780984358106;4;4.32;Viperion Publishing Corp;Paperback;322;2011;2010;2023/07/28;2023/03/26;;;read;;;;1;0
6120230;Droga;Cormac McCarthy;McCarthy, Cormac;Robert Sudół;8308041787;9788308041789;0;3.99;Wydawnictwo Literackie;paperback;268;2008;2006;;2023/07/24;to-read;to-read (#260);to-read;;;;0;0
130195658;Wielka wojna o chipy. Jak USA i Chiny walczą o technologiczną dominację nad światem;Chris   Miller;Miller, Chris;;8381754828;9788381754828;0;4.46;Poltext;Paperback;552;2023;2022;;2023/07/24;to-read;to-read (#259);to-read;;;;0;0
62232334;Oppenheimer. Triumf i tragedia ojca bomby atomowej;Kai Bird;Bird, Kai;Martin J. Sherwin, Janusz Błaszczyk;8367295382;9788367295383;0;4.28;Replika;Hardcover;784;2022;2005;;2023/07/24;to-read;to-read (#258);to-read;;;;0;0
59014741;Obsesja piękna. Jak kultura popularna krzywdzi dziewczynki i kobiety;Renee Engeln;Engeln, Renee;Marta Komorowska;8328092697;9788328092693;4;4.16;Wydawnictwo W.A.B.;Paperback;416;2021;2017;2023/07/22;2021/07/06;;;read;;;;1;0
55990673;Master the Skill of Debugging CSS;Ahmad Shadeed;Shadeed, Ahmad;;;;5;4.05;;ebook;300;2020;;2023/07/17;2022/10/10;;;read;;;;1;0
123857475;Wygasanie. Zmierzch mojego Kościoła;Tomasz P. Terlikowski;Terlikowski, Tomasz P.;;8308080863;9788308080863;4;4.14;Wydawnictwo Literackie;Paperback;368;2023;2023;2023/07/17;2023/05/25;;;read;;;;1;0
55361205;A Promised Land;Barack Obama;Obama, Barack;;;;0;4.34;Crown;Kindle Edition;768;2020;2020;;2021/05/20;currently-reading;currently-reading (#1);currently-reading;;;;1;0
55289532;Finansowa Forteca;Marcin Iwuć;Iwuć, Marcin;;8395846800;9788395846809;5;4.74;FBO Marcin Iwuć;Hardcover;800;2020;2020;2023/07/11;2021/01/22;;;read;;;;1;0
61771681;Schronisko które przestało istnieć (Karkonoska seria kryminalna, #1);Sławek Gortych;Gortych, Sławek;;8327162144;9788327162144;4;3.79;Wydawnictwo Dolnośląskie;Paperback;368;2022;2022;;2023/06/18;;;read;;;;2;0
